;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120
Republic of Kazakhstan;3400.96;3685.9;4154.43;5203.94;5084.05;6718.83;4235.03;4014.95;4907.52;4274.75;3858.39;6477.35;3884.84;4146.9;4282.08;5408.9;4390.56;8005.48;5105.84;4700.12;5548.88;3958.09;6264.34;9196.32;3739.75;4951.17;6316.68;5751.36;5747.16;10114.01;5944.43;6768.61;5781.59;5885.5;7429.34;9411.91;5555.9;4586.48;7970.28;8130.34;8048.48;14491.87;7543.26;7396.97;9668.6;6730.17;7987.91;11121.61;5666.49;5917.68;8899.55;7784.95;9167.13;16299.73;7164.2;7341.17;10162.65;13532.56;11737.17;14948.7;7041.38;4341.74;10336.12;7419.05;10452.61;16413.66;7973.85;8901.52;10934.83;13130.82;12848.98;18882.81;8135.62;6432.18;9650.38;10482.45;11405.76;16121.49;9114.93;14885.29;13567.02;13473.97;12558.44;20382.82;6709.4;8554.71;12487.58;9184.25;7094.7;16471.11;6373.02;10145.08;8831.12;11123;8927.05;11379.06;7452.75;6836.85;8719.53;9925.26;7684.37;12218.39;6460.2;11289.58;15156.55;9790.74;9021.76;13193.63;6799.94;12303.66;9703.45;11165.56;8179.14;24407.52;9835.22;11955.41;16955.56;10638.42;9612.92;21521.5
Akmola region;514.75;497.95;863.93;667.81;633.39;600.86;875.47;942.18;856.9;981.04;873.89;1390.18;736.62;845.64;774.36;618.97;701.72;796.48;914.5;736.52;897.89;912.46;867.99;1102.48;660.12;731.14;835;860.71;883.43;963.32;745.3;844.01;678;1025.12;1312.34;919.29;670.25;942.66;847.27;907.92;1002.24;911.62;873.09;1070.9;938.24;832.71;780.14;792.74;993.76;1044.12;1250.31;892.18;1441.82;1249.59;822.67;1007.64;1333;1160.5;1088.61;1164.95;782.49;829.6;1780.71;1077.39;1145.56;1100.69;898.78;829.67;930.63;1135.02;1025.99;1133.29;1141.02;957.47;1261.8;979.49;1029.19;864.06;1056.22;1019.37;1028.55;1254.05;1025.9;1062.94;537.96;1089;1631.34;1183.73;1118.31;1064.21;1240.11;1000.26;1269.72;1136.14;1230.95;1026.95;1294.11;936.76;1229.11;1048.76;1040.48;1181.82;869.84;993.64;938.85;1102.67;1001.63;1079.39;972.07;938.35;978.41;1071.35;1067.76;1119.61;898.07;1382;1133.36;1073.27;1118.19;1332.88
Aktobe region;554.41;504.35;493.56;445.51;585.79;316.47;469.49;303.09;685.51;600.85;603.26;700.48;477.84;221.08;265.59;328.03;384.03;555.07;615.9;619.33;770.79;302.27;1076.31;862.54;473.66;475.3;814.18;638.87;642.96;834.97;902.65;701.17;756.63;726.68;654.31;801.49;703.32;514.47;952.16;1018.39;968.68;845.85;758.18;931.47;1070.07;1278.41;1627.73;1714.64;704.51;899.66;1554.1;1351.44;1050.71;1485.45;814.13;1169.81;2388.34;1595.4;3809.76;3510.19;954.53;481.35;1111.55;1033.96;1939.87;2152.47;1578.87;1426.39;2620.87;2434.4;3247.3;3281.67;580.89;823.34;1221.21;1626.06;1920.41;2637.56;1620.81;2134.96;3425.67;3449.02;3751.75;3827.39;826.17;1132.81;1544.91;1885.46;698.01;4712.69;508.07;592.19;902.26;1479.36;1219.25;658.78;589.8;1275.24;1508.27;1380.18;842.24;3478.29;774.46;764.8;3003.94;1876.68;1547.77;607.03;609.08;873.05;1520.51;1747.09;915.8;1851.96;932.63;945.11;1142.92;1637.64;1180.54;1045.69
Almaty region;178.3;362.86;352.49;451.79;228.32;708.84;280.55;126.59;629.44;314.28;302.7;273.87;362.96;524.37;549.52;1221.29;663.04;1033.44;877.53;795.88;549.7;524.17;762.84;909.95;361.53;659.43;489.3;413.05;901.47;633.54;986.07;1245.53;678.11;462.36;1124.24;1042.7;626.23;691.69;900.64;546.92;753.49;1249.22;870.13;1085.25;767.07;833.67;621.67;1270.71;647.57;859.73;627.58;510.15;1060.85;748.1;795.62;713.09;917.57;2486.33;1047.68;1716.96;138.84;193.57;1915.13;318.06;1376.06;1100.94;732.62;403.93;1133.23;296.33;528.96;765.77;256.65;247.48;1642.59;204.04;1358.42;1168.3;299.38;1286.74;482.08;219.4;455.71;342.51;185.09;235.07;1692.44;276.34;475.5;1043.31;357.53;225.52;212.32;344.6;413.76;211.75;379.94;109.76;195.04;292.86;204.42;410.94;154.98;100.38;1354.58;189.29;152.57;186.92;141.97;214.08;1055.43;110.45;188.15;172.63;112.31;134.99;1212.02;260.02;129.38;159.66
Atyrau region;20.8;0.8;15.28;1.97;2.04;1.32;0.8;1.38;1;0.43;1.47;6.26;7.41;20.63;10.49;11.75;16.13;27.56;15.8;11.24;15.2;3.5;5.1;10.18;7.41;4.52;6.2;3.28;9.99;3.44;9.3;32.91;48.26;21.35;4.52;6.7;2.95;38.66;2.91;23.24;8.43;2.4;19.8;0.3;13.88;1.75;83.62;19.94;5.04;3.28;0.2;7.3;7.88;7.82;0.1;;2.1;13.76;1.73;1.95;1.8;6.49;7.29;5.7;10.95;5.98;1.57;1.58;19.4;9.32;22.87;;3.09;3.23;8.92;2.74;3.85;2.11;4.54;1.41;1.69;8.27;13.06;20.24;8.91;9.61;2.14;9.05;5.62;3.5;;;2.6;;5.1;5.7;;0.06;1.9;;1.4;4.2;1.4;0.5;1.64;0.54;;51.62;16.21;17.45;13.52;25.1;13.7;16.08;17.35;41.57;56.59;49.5;40.76;27.22
West Kazakhstan region;36.38;16.14;148.5;145.26;131.27;115.01;60.6;83.6;139.05;107.98;86.18;275.77;93.81;204.86;254.4;82.89;52.21;57.31;33.9;20.69;47.04;72.48;102.36;252.42;87.81;153.02;176.98;87.71;123.81;217.05;133.89;113.86;86.96;67.89;188.91;312.2;155.96;131.87;155.17;183.75;131.9;220.58;117.82;77.65;271.51;169.24;230.18;256.49;126.91;104.17;95.67;94.31;75.93;248.36;150.05;104.48;396.66;194.05;288.29;375.54;208.8;151.24;137.98;108.61;142.46;302.43;70.79;120.1;288.51;342.18;290.2;633.29;135.28;200.06;271.74;621.21;617.36;350.28;87.77;121.58;194.95;156.73;267.81;585.09;152.48;368.91;202.78;439.32;284.58;1207.68;224.12;134.71;265.6;299.54;504.28;406.81;560.11;266.3;327.79;372.54;238.97;585.79;444.99;519.78;679.56;630.95;380.4;457.86;486.18;222.78;333.47;438.04;378.2;585.85;607.34;944.69;517.31;622.35;478.05;964.38
Zhambyl region;11.35;52.62;24.71;76.56;106.33;23.48;128.48;270.8;30.13;19.1;32.88;44.2;16.08;475.59;29.41;310.03;365.45;32.66;23.9;22.9;30.94;54.8;64.1;910.5;16.08;335.1;194.9;464.6;119.09;242.96;531.87;1150.32;40.43;32.15;328.86;780.76;436.41;39.11;1024.84;876.02;845.38;843.11;461.87;1072.21;1831.9;352.13;542.21;2062.63;541.83;448.71;972.35;530.18;404.28;1844.94;308.46;1231.96;1682.59;637.14;543.51;1728.36;2042.34;114.99;296.28;239.43;282.82;694.06;37.06;1190.01;771.9;384.79;96.09;5995.41;1891.17;84.23;1040.02;175.75;240.53;1529.83;71.09;721.52;2466.15;1049.29;791.7;5273.3;290.29;371.16;1393.47;33.66;87.63;1066.24;12.23;134.58;997.34;394.67;359.43;1708.7;136.63;44.93;1223.68;54.84;140.49;817.71;9.3;13.4;58.06;77.19;98.82;25.2;174.82;122.55;1474.62;96.11;187.05;148.03;102.68;33.38;6.29;16.55;18.3;30.96
Karagandy region;40.29;47.49;16.23;39.16;37.99;33.46;25.4;31.9;77.93;30.58;24.93;37.44;32.49;10.82;40.55;38.06;28.86;83.94;31.25;54.59;85.77;24.29;72.41;91.5;32.49;47.11;42.94;78.41;115.8;101.38;22.44;80.06;83.36;145.24;82.44;82.15;5.07;43.84;39.76;24.68;82.12;53.05;37.93;46.48;68.56;15.85;44.14;174.4;16.87;106.38;180.45;133.89;170.19;238.98;102.7;305.21;419.21;138.87;193.71;139.51;328.37;86.42;351.35;70.14;952.68;715.18;164.18;269.7;109.17;647.51;603.22;484.61;542.91;493.85;320.3;448.12;460.57;988.61;712.53;693.67;895.13;1273.47;471.63;737.66;1003.01;311.82;1384.38;343.76;236.06;104.21;155.95;60.88;270.58;646.19;113.16;303.28;244.88;227.98;215.2;103.78;188.89;148.8;90.28;162.8;206.27;260.49;242.88;250.05;126.06;155.18;91.43;242.05;189.97;167.94;87.91;103.4;191.9;116.85;101.7;153.63
Kostanay region;817.94;781.68;1025.47;1792.38;2083.39;3322.77;978.73;838.09;899.01;1060.38;885.49;831.85;838;740.93;876.01;1083.93;1019.43;3257.55;1015.65;934.94;1080.12;1093.06;1287.79;2205.76;802.38;952.64;1157.22;1192.33;1669.27;4498.26;970.85;1222.57;1299.34;1034.82;1174.66;858.06;1393.16;895.8;1244.7;1447.37;1670.15;5149.34;1077.28;960.89;1827.93;1074.91;1632.42;1061.72;1107.37;1135.43;1327.85;1796.84;1704.62;4020.51;1438.87;897.65;908.52;946.92;1068.18;1341.32;1157.73;1242.94;1467.15;2470.35;1841.89;3526.6;1979.69;1571.54;2240.05;1595.89;2066.84;1033.47;1829.51;1685.36;1641.54;3008.28;2051.72;3343.7;2618.22;1226.29;1693.72;1235.14;1341.27;1584.67;1584.88;797.82;1301.96;1342.3;1667.23;3263.81;1211.14;1056.05;940.87;832.46;1277.4;1336.82;1661.98;1627.84;1111.26;1344.04;1241.39;1300.84;1105.81;910.57;1125.24;1227.25;1301.43;1261.47;1150.38;1287.7;1382.07;1446.57;1251.74;6621.92;1607.87;950.82;1441.72;1435.26;1167.13;1385.27
Kyzylorda region;9.7;15.3;21.82;13.13;6.71;8.39;10.09;11.92;2.83;6.97;19.56;29.11;38.57;51.26;32.6;20.65;37.15;36.43;66.24;39.69;2.55;5.79;70.36;30.24;38.57;21.7;17.81;26.37;3.38;38.11;51.17;61.91;53.46;33.07;29.39;54.1;65.32;142.19;58.72;48.72;35.28;26.96;38.28;87.59;52.81;37.98;65.91;170.68;28.57;65.99;80.61;10.5;175.95;81.66;89.71;96.17;166.27;66.62;118.68;255.65;133.48;84.45;30.21;175.04;100.7;108.92;32.74;41.8;55.64;79.1;108.48;87.39;42.77;75.82;42.22;143.2;91.79;116.17;38.34;22.73;8.27;113.74;85.71;138.19;58.05;67.25;64.33;148.01;87.8;121.7;45.17;53.29;30.73;78.78;112.24;193.63;62.35;65.44;51.9;141.42;81;120.39;27.99;49.09;62.45;77.84;82.33;117.03;117.25;75.01;51.07;118.23;104.68;137.22;43.34;71.07;55.35;79.58;41.26;110.81
